j,g,f,c,g,h,a,i,j,a,f,f,b,i,d,g,i,j,j,b,c5
j,h,h,c,b,j,d,d,i,i,c,j,i,i,h,j,f,d,j,d,c1
f,h,b,b,b,d,i,e,a,i,d,b,i,h,h,g,a,e,c,h,c2
a,h,c,d,f,f,j,f,i,c,b,j,e,a,h,d,f,d,j,i,c1
f,h,c,a,e,g,j,d,i,e,i,j,a,g,j,g,e,d,g,d,c1
d,h,c,i,e,b,b,j,i,j,f,j,e,i,d,e,c,d,f,c,c1
f,h,i,e,j,a,h,c,i,f,f,j,j,i,c,a,b,d,i,d,c1
i,h,j,a,j,c,j,g,i,a,d,j,b,c,b,i,d,d,e,h,c1
b,h,d,e,e,h,c,g,i,a,a,j,d,g,b,j,c,d,f,b,c1
g,f,a,b,a,e,j,f,c,e,a,a,a,a,d,j,i,b,h,c,c4
f,h,c,j,a,c,g,b,i,f,h,j,d,d,h,g,h,d,g,e,c1
h,e,j,b,i,b,d,b,e,e,j,i,c,e,f,c,d,i,e,f,c3
g,a,f,j,i,h,b,b,e,e,c,i,c,f,f,b,e,a,j,e,c3
i,h,e,b,f,c,f,d,i,e,i,j,f,a,a,g,c,d,b,h,c1
e,h,g,h,f,f,j,i,i,d,j,j,a,b,h,e,d,d,j,f,c1
c,c,e,c,b,a,g,b,e,e,e,i,c,j,f,d,c,b,i,e,c3
d,h,e,g,a,i,b,d,e,a,g,f,b,i,h,h,j,c,b,e,c5
g,h,e,c,h,b,g,c,i,d,c,j,b,a,c,c,e,d,g,j,c1
g,d,h,b,f,d,e,j,e,i,g,a,i,j,j,b,j,e,a,a,c2
i,e,b,i,c,f,h,g,e,a,h,f,b,i,c,c,d,f,e,d,c5
d,h,d,g,b,h,a,h,c,c,i,h,a,a,d,g,j,g,i,c,c4
g,h,c,e,h,d,f,c,c,f,a,b,a,f,d,c,d,d,a,c,c4
b,c,c,g,h,c,b,d,c,a,j,f,b,i,h,b,c,f,f,a,c5
e,h,b,a,h,i,d,a,f,a,c,f,b,i,j,f,i,i,c,a,c5
a,a,e,j,a,f,i,e,h,a,f,f,b,i,i,a,j,d,f,a,c5
h,g,g,f,b,a,j,b,e,e,d,j,c,e,i,a,f,j,e,d,c3
a,j,j,a,g,d,c,a,d,i,g,d,i,b,f,a,c,e,c,c,c2
i,h,a,j,a,f,c,j,i,j,a,j,e,f,e,b,b,d,d,i,c1
d,h,c,b,g,f,g,c,i,c,g,j,b,d,g,j,e,d,a,g,c1
i,h,e,i,c,j,c,j,i,j,g,j,b,i,c,g,d,d,b,i,c1
c,g,a,e,b,b,c,j,i,a,g,f,b,i,b,c,g,b,b,a,c5
i,g,c,i,g,d,f,e,h,i,b,a,i,g,a,b,a,e,j,b,c2
g,f,g,a,g,b,c,b,e,e,e,f,c,b,b,f,h,i,g,c,c3
h,g,b,d,d,d,d,g,b,a,b,f,b,i,e,g,b,c,d,a,c5
e,j,i,j,b,f,j,b,e,e,h,c,c,g,a,i,b,f,f,j,c3
j,h,h,b,d,i,b,b,i,b,a,j,i,a,f,e,g,d,b,b,c1
c,g,f,i,i,a,g,e,c,e,i,a,a,g,d,d,h,h,b,c,c4
b,g,a,d,a,g,e,e,c,e,c,d,a,h,d,h,c,i,e,c,c4
b,f,b,j,d,a,c,b,e,e,e,d,c,j,h,f,e,g,i,h,c3
g,h,a,i,i,b,d,a,i,a,e,j,f,a,c,f,b,d,h,e,c1
c,b,c,d,b,e,b,e,e,a,e,f,b,i,c,f,c,f,e,b,c5
i,i,b,b,h,d,d,f,g,i,a,f,i,i,g,a,e,e,g,j,c2
a,g,f,h,i,e,f,i,c,g,h,e,a,g,d,h,h,b,b,c,c4
c,d,b,j,f,h,a,c,c,d,d,h,a,g,d,f,f,i,e,c,c4
g,d,f,c,b,g,a,b,e,e,b,h,c,b,i,b,h,b,i,g,c3
a,f,f,b,e,d,j,b,e,e,f,f,c,c,e,g,e,d,e,j,c3
g,c,e,i,c,b,e,b,e,e,d,f,c,f,f,c,d,b,c,i,c3
