GoodStudent,Age,SocioEcon,RiskAversion,VehicleYear,ThisCarDam,RuggedAuto,Accident,MakeModel,DrivQuality,Mileage,Antilock,DrivingSkill,SeniorTrain,ThisCarCost,Theft,CarValue,HomeBase,AntiTheft,PropCost,OtherCarCost,OtherCar,MedCost,Cushioning,Airbag,ILiCost,DrivHist
True,Senior,Middle,Cautious,Current,None,EggShell,Severe,Luxury,Normal,FiveThou,True,Normal,False,HundredThou,True,FiftyThou,Rural,True,Million,Million,False,Thousand,Excellent,False,HundredThou,One
True,Adult,Prole,Normal,Older,None,Tank,Severe,Luxury,Normal,FiveThou,True,Normal,False,TenThou,False,Million,Rural,True,Thousand,TenThou,False,TenThou,Good,True,HundredThou,Many
False,Adult,Wealthy,Normal,Current,Mild,Tank,Mild,SportsCar,Poor,FiftyThou,False,SubStandard,True,HundredThou,True,TenThou,City,False,HundredThou,HundredThou,False,HundredThou,Poor,False,HundredThou,One
True,Adult,Middle,Psychopath,Current,Severe,Football,Severe,FamilySedan,Normal,FiveThou,True,Normal,False,HundredThou,True,FiftyThou,Rural,False,Million,TenThou,True,HundredThou,Good,False,HundredThou,One
False,Senior,Prole,Normal,Older,Moderate,Football,None,Luxury,Excellent,FiftyThou,True,Expert,True,HundredThou,False,FiftyThou,Secure,True,TenThou,TenThou,False,HundredThou,Good,True,HundredThou,Zero
True,Adult,Middle,Cautious,Current,Severe,Football,Severe,FamilySedan,Normal,FiftyThou,True,Normal,False,Million,True,FiftyThou,Rural,True,TenThou,TenThou,False,HundredThou,Poor,False,TenThou,One
True,Senior,Middle,Psychopath,Current,Moderate,Tank,None,Luxury,Poor,FiftyThou,True,SubStandard,False,Million,True,Million,Suburb,False,Million,TenThou,True,TenThou,Poor,False,HundredThou,Zero
False,Adult,UpperMiddle,Cautious,Older,None,Tank,Severe,Luxury,Excellent,FiftyThou,True,Normal,True,Million,False,FiftyThou,Secure,True,TenThou,TenThou,False,HundredThou,Poor,True,TenThou,Many
True,Senior,UpperMiddle,Normal,Current,Mild,Tank,Mild,SportsCar,Normal,FiftyThou,False,Normal,False,HundredThou,True,TenThou,Suburb,True,Million,HundredThou,False,HundredThou,Poor,False,HundredThou,One
False,Adolescent,Prole,Cautious,Older,None,Football,None,Luxury,Excellent,FiftyThou,True,Normal,True,Million,False,FiftyThou,Secure,True,TenThou,Million,False,Thousand,Fair,True,HundredThou,One
True,Senior,Middle,Psychopath,Current,Mild,Tank,Severe,FamilySedan,Poor,TwentyThou,False,Normal,False,HundredThou,True,TenThou,Rural,False,HundredThou,HundredThou,False,HundredThou,Poor,False,HundredThou,Zero
False,Senior,Middle,Cautious,Current,Mild,Football,Mild,FamilySedan,Normal,FiftyThou,True,Normal,True,HundredThou,True,FiftyThou,Suburb,True,Million,Million,False,HundredThou,Good,False,HundredThou,One
False,Senior,Prole,Normal,Older,Mild,EggShell,Mild,Economy,Excellent,FiftyThou,False,Expert,True,TenThou,False,TenThou,Secure,True,TenThou,HundredThou,False,HundredThou,Excellent,True,HundredThou,Zero
False,Adult,Prole,Psychopath,Older,Mild,EggShell,Mild,Economy,Excellent,TwentyThou,False,Normal,True,HundredThou,False,FiftyThou,City,False,HundredThou,HundredThou,False,HundredThou,Excellent,True,HundredThou,Many
False,Adult,Prole,Psychopath,Current,Mild,EggShell,Mild,Luxury,Normal,FiftyThou,False,Normal,True,HundredThou,True,Million,City,False,HundredThou,HundredThou,False,Million,Good,False,HundredThou,One
True,Adolescent,UpperMiddle,Cautious,Older,Severe,Tank,Severe,Luxury,Normal,FiveThou,True,Normal,False,TenThou,False,Million,Rural,True,Thousand,TenThou,False,TenThou,Good,True,Million,Many
True,Adult,Prole,Normal,Current,Mild,Football,Mild,Luxury,Normal,FiveThou,False,Normal,False,HundredThou,True,FiftyThou,City,True,HundredThou,HundredThou,True,HundredThou,Good,False,HundredThou,One
True,Senior,Prole,Cautious,Older,Moderate,Tank,Severe,Luxury,Normal,FiftyThou,False,Normal,False,Million,False,FiftyThou,Rural,True,TenThou,HundredThou,False,HundredThou,Good,True,HundredThou,Many
True,Senior,Prole,Psychopath,Older,Mild,Football,Severe,Luxury,Poor,FiveThou,True,SubStandard,False,Million,False,FiftyThou,Rural,False,Million,TenThou,False,HundredThou,Excellent,True,HundredThou,Many
True,Adult,Prole,Cautious,Older,Severe,Football,Severe,FamilySedan,Poor,FiveThou,True,Normal,False,HundredThou,False,FiftyThou,Rural,True,HundredThou,TenThou,False,HundredThou,Good,True,HundredThou,Many
True,Senior,Prole,Normal,Older,Severe,EggShell,Severe,FamilySedan,Normal,FiveThou,True,Normal,False,HundredThou,False,FiftyThou,Rural,True,HundredThou,Million,False,HundredThou,Good,True,HundredThou,One
False,Adult,Prole,Normal,Current,Severe,EggShell,Severe,Luxury,Excellent,FiveThou,False,Expert,True,TenThou,True,Million,City,True,TenThou,HundredThou,False,Million,Good,False,HundredThou,Zero
False,Adult,Prole,Normal,Older,Mild,EggShell,Mild,Economy,Excellent,FiftyThou,False,Expert,True,HundredThou,False,FiftyThou,Secure,False,HundredThou,HundredThou,False,HundredThou,Excellent,True,HundredThou,One
True,Senior,Prole,Normal,Current,Mild,Football,Mild,Luxury,Poor,FiftyThou,False,SubStandard,False,HundredThou,True,TwentyThou,City,False,HundredThou,HundredThou,False,HundredThou,Poor,False,HundredThou,One
