GoodStudent,Age,SocioEcon,RiskAversion,VehicleYear,ThisCarDam,RuggedAuto,Accident,MakeModel,DrivQuality,Mileage,Antilock,DrivingSkill,SeniorTrain,ThisCarCost,Theft,CarValue,HomeBase,AntiTheft,PropCost,OtherCarCost,OtherCar,MedCost,Cushioning,Airbag,ILiCost,DrivHist
True,Senior,Prole,Normal,Current,None,EggShell,Severe,Luxury,Normal,FiftyThou,False,Normal,True,TenThou,True,Million,City,True,TenThou,HundredThou,True,Million,Good,False,HundredThou,One
False,Senior,Prole,Psychopath,Current,Mild,EggShell,Mild,Economy,Normal,FiftyThou,False,Normal,True,HundredThou,False,TwentyThou,City,False,HundredThou,HundredThou,False,HundredThou,Fair,False,HundredThou,Many
True,Adult,Middle,Psychopath,Older,Mild,EggShell,Mild,Economy,Normal,FiftyThou,True,Normal,True,HundredThou,False,TenThou,Rural,False,Million,HundredThou,True,HundredThou,Excellent,True,HundredThou,Many
True,Adult,Middle,Cautious,Older,Mild,EggShell,Mild,Economy,Normal,FiveThou,True,Normal,True,HundredThou,False,TenThou,Rural,True,Million,HundredThou,True,HundredThou,Excellent,True,HundredThou,Zero
True,Senior,Wealthy,Normal,Current,Severe,Tank,Severe,SportsCar,Excellent,TwentyThou,False,Expert,True,Million,True,TenThou,City,True,Million,Million,True,HundredThou,Good,False,HundredThou,Zero
False,Adult,Middle,Normal,Current,Severe,EggShell,None,FamilySedan,Normal,FiftyThou,True,Normal,True,TenThou,True,TenThou,Rural,True,TenThou,HundredThou,True,HundredThou,Fair,False,HundredThou,Many
False,Senior,Middle,Psychopath,Older,Mild,EggShell,Mild,Economy,Normal,FiveThou,True,Normal,False,HundredThou,False,TwentyThou,Rural,False,HundredThou,HundredThou,False,HundredThou,Fair,True,HundredThou,Many
True,Senior,Prole,Psychopath,Current,Mild,EggShell,Mild,Luxury,Poor,FiftyThou,True,SubStandard,False,HundredThou,False,Million,City,False,HundredThou,HundredThou,True,HundredThou,Fair,False,HundredThou,Many
False,Adult,Wealthy,Cautious,Older,Mild,Tank,Mild,SportsCar,Normal,FiveThou,True,Normal,True,HundredThou,False,TenThou,Secure,True,Million,HundredThou,False,HundredThou,Poor,True,HundredThou,Many
True,Adult,Prole,Normal,Current,Severe,EggShell,Severe,Luxury,Excellent,FiftyThou,False,Expert,False,TenThou,True,Million,Suburb,True,TenThou,HundredThou,True,HundredThou,Good,False,TenThou,Zero
False,Senior,Middle,Psychopath,Current,Severe,EggShell,Severe,FamilySedan,Excellent,FiftyThou,True,Expert,True,HundredThou,False,FiftyThou,Secure,True,Million,Million,True,Thousand,Fair,False,HundredThou,Many
True,Senior,Middle,Cautious,Older,Mild,EggShell,Mild,Luxury,Normal,FiveThou,True,Normal,True,HundredThou,False,FiftyThou,Rural,True,HundredThou,HundredThou,True,TenThou,Excellent,True,HundredThou,Many
True,Adult,Middle,Adventurous,Older,Mild,EggShell,Moderate,Luxury,Excellent,FiftyThou,True,SubStandard,True,HundredThou,False,FiftyThou,Rural,False,HundredThou,HundredThou,True,Million,Fair,True,HundredThou,One
True,Adult,UpperMiddle,Cautious,Older,Severe,EggShell,Severe,Economy,Normal,TwentyThou,True,Normal,True,HundredThou,False,FiftyThou,Rural,True,TenThou,TenThou,True,Million,Fair,True,Million,One
False,Adult,Prole,Psychopath,Older,Mild,Tank,Moderate,Luxury,Normal,Domino,True,Normal,True,HundredThou,False,FiveThou,Rural,False,Million,HundredThou,True,TenThou,Good,True,HundredThou,Many
True,Adult,Prole,Normal,Current,None,EggShell,None,Economy,Excellent,FiftyThou,False,Expert,True,TenThou,True,Million,Rural,True,TenThou,HundredThou,True,Million,Excellent,False,Million,Zero
False,Adult,Middle,Psychopath,Older,None,Tank,None,Luxury,Normal,FiveThou,True,Normal,True,HundredThou,False,FiveThou,Secure,False,TenThou,TenThou,True,Thousand,Poor,True,HundredThou,Many
True,Senior,Middle,Psychopath,Current,Mild,EggShell,Moderate,Economy,Normal,FiftyThou,True,Normal,False,HundredThou,False,Million,Rural,False,HundredThou,HundredThou,True,HundredThou,Good,False,HundredThou,Many
False,Adult,Middle,Psychopath,Older,Severe,EggShell,Severe,FamilySedan,Excellent,FiveThou,True,Normal,True,HundredThou,False,FiftyThou,Rural,False,TenThou,TenThou,False,Thousand,Excellent,True,HundredThou,Many
False,Adolescent,UpperMiddle,Cautious,Older,Mild,Tank,Moderate,SportsCar,Excellent,FiftyThou,True,Normal,True,HundredThou,False,TenThou,Secure,True,Million,HundredThou,False,HundredThou,Poor,False,Million,One
False,Senior,Middle,Psychopath,Current,None,EggShell,None,FamilySedan,Normal,TwentyThou,True,Normal,False,Million,True,FiftyThou,Rural,True,Million,HundredThou,True,Million,Excellent,True,HundredThou,One
True,Adult,Middle,Psychopath,Older,Moderate,Football,Moderate,Economy,Normal,FiftyThou,True,Normal,True,HundredThou,False,Million,Rural,False,HundredThou,HundredThou,True,HundredThou,Excellent,True,HundredThou,Many
False,Adolescent,Middle,Cautious,Older,None,EggShell,None,FamilySedan,Excellent,FiftyThou,True,Normal,True,HundredThou,False,FiveThou,Secure,False,HundredThou,HundredThou,True,TenThou,Excellent,False,HundredThou,One
False,Adolescent,Middle,Cautious,Current,Mild,EggShell,Moderate,Economy,Excellent,TwentyThou,True,Expert,True,HundredThou,False,TenThou,Rural,True,Million,HundredThou,False,HundredThou,Fair,True,HundredThou,Zero
False,Adolescent,Middle,Psychopath,Older,Mild,EggShell,Mild,Economy,Normal,FiveThou,True,Normal,True,HundredThou,False,FiveThou,Rural,False,HundredThou,HundredThou,False,Thousand,Excellent,False,HundredThou,Many
False,Senior,Middle,Psychopath,Older,Severe,EggShell,Severe,FamilySedan,Poor,TwentyThou,True,SubStandard,False,Million,False,FiftyThou,Rural,False,TenThou,HundredThou,True,Thousand,Fair,True,HundredThou,Many
False,Adolescent,Wealthy,Cautious,Older,Mild,Tank,Mild,SportsCar,Normal,FiftyThou,True,Normal,True,HundredThou,False,TenThou,Secure,True,Million,HundredThou,False,HundredThou,Poor,True,HundredThou,Many
True,Adult,Middle,Psychopath,Current,Mild,EggShell,Moderate,Luxury,Excellent,Domino,True,Expert,True,HundredThou,False,Million,Rural,False,HundredThou,HundredThou,True,HundredThou,Good,False,HundredThou,Many
False,Adolescent,Middle,Normal,Current,Severe,EggShell,Severe,FamilySedan,Excellent,Domino,True,Expert,True,Million,True,FiftyThou,Rural,True,TenThou,TenThou,False,Million,Excellent,False,HundredThou,Zero
False,Senior,UpperMiddle,Psychopath,Current,Severe,Tank,None,SportsCar,Excellent,FiftyThou,False,Expert,True,TenThou,False,TenThou,City,False,TenThou,HundredThou,False,HundredThou,Poor,False,Million,Zero
True,Senior,Prole,Psychopath,Older,Mild,Football,Mild,Luxury,Poor,FiftyThou,True,SubStandard,True,HundredThou,False,Million,City,False,HundredThou,HundredThou,True,HundredThou,Fair,True,HundredThou,Many
False,Senior,Middle,Cautious,Current,None,EggShell,None,FamilySedan,Excellent,TwentyThou,True,Expert,True,Million,True,FiftyThou,Rural,True,Million,Million,False,Million,Fair,True,HundredThou,Zero
False,Senior,UpperMiddle,Psychopath,Current,Mild,Tank,Mild,Economy,Poor,FiftyThou,False,Normal,True,HundredThou,False,TwentyThou,City,False,HundredThou,HundredThou,False,HundredThou,Poor,False,TenThou,Many
False,Adolescent,Middle,Cautious,Older,Mild,EggShell,Mild,FamilySedan,Normal,FiveThou,True,Normal,True,HundredThou,False,FiftyThou,Rural,True,HundredThou,HundredThou,True,TenThou,Fair,True,HundredThou,Many
True,Adult,Middle,Adventurous,Older,Moderate,Football,Moderate,Economy,Excellent,FiveThou,True,Normal,True,HundredThou,False,Million,Rural,True,HundredThou,HundredThou,True,HundredThou,Excellent,True,HundredThou,Zero
True,Adult,Prole,Normal,Current,Mild,EggShell,Mild,Economy,Excellent,FiftyThou,True,Expert,False,TenThou,True,Million,Suburb,True,HundredThou,HundredThou,True,HundredThou,Excellent,False,HundredThou,Zero
False,Adult,Middle,Cautious,Current,Severe,EggShell,None,SportsCar,Normal,FiftyThou,True,Normal,True,TenThou,True,TenThou,Rural,True,Million,HundredThou,False,HundredThou,Excellent,False,HundredThou,Many
True,Adult,Prole,Psychopath,Current,Mild,Tank,Mild,Luxury,Excellent,TwentyThou,True,Expert,False,HundredThou,False,FiftyThou,Suburb,False,HundredThou,HundredThou,True,Thousand,Poor,True,HundredThou,One
True,Adolescent,Prole,Cautious,Current,None,EggShell,None,Economy,Excellent,TwentyThou,False,Normal,True,Million,True,Million,Rural,True,TenThou,HundredThou,True,HundredThou,Fair,False,HundredThou,Many
True,Adult,Middle,Cautious,Older,Mild,Football,Mild,Luxury,Poor,FiftyThou,True,Normal,True,HundredThou,False,Million,Rural,True,HundredThou,HundredThou,True,HundredThou,Fair,True,HundredThou,Many
