p,x,f,y,f,f,f,c,b,p,e,b,k,k,p,n,w,o,l,h,v,p
p,f,y,e,f,s,f,c,n,b,t,?,s,k,p,w,w,o,e,w,v,d
p,f,s,n,f,s,f,c,n,b,t,?,k,s,w,w,w,o,e,w,v,d
p,x,f,p,f,c,f,c,n,g,e,b,s,s,w,w,w,o,p,k,v,d
p,k,y,e,f,s,f,c,n,b,t,?,k,k,w,p,w,o,e,w,v,l
e,x,f,e,t,n,f,c,b,u,t,b,s,s,p,p,w,o,p,k,v,d
e,x,y,y,t,a,f,c,b,p,e,r,s,y,w,w,w,o,p,n,y,p
p,f,s,e,f,f,f,c,n,b,t,?,k,s,w,p,w,o,e,w,v,p
e,x,f,e,t,n,f,c,b,u,t,b,s,s,w,p,w,o,p,n,y,d
e,x,s,w,t,a,f,c,b,k,e,c,s,s,w,w,w,o,p,k,s,g
e,x,s,g,f,n,f,w,b,n,t,e,f,s,w,w,w,o,e,k,a,g
p,f,s,e,f,s,f,c,n,b,t,?,k,k,p,p,w,o,e,w,v,p
p,f,y,w,t,n,f,c,b,w,e,b,s,s,w,w,w,t,p,r,v,m
e,x,s,g,f,n,f,w,b,k,t,e,f,s,w,w,w,o,e,n,s,g
e,x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,w,o,p,k,s,p
e,f,s,g,t,n,f,c,b,w,e,b,s,s,w,w,w,t,p,w,y,p
e,x,f,n,t,n,f,c,b,u,t,b,s,s,p,w,w,o,p,k,v,d
e,x,f,n,f,n,f,w,b,k,t,e,s,s,w,w,w,o,e,k,s,g
p,k,y,e,f,y,f,c,n,b,t,?,s,k,p,p,w,o,e,w,v,l
e,x,f,n,f,n,f,w,b,n,t,e,s,s,w,w,w,o,e,k,a,g
e,x,f,n,t,n,f,c,b,u,t,b,s,s,w,g,w,o,p,n,v,d
e,f,f,g,t,n,f,c,b,u,t,b,s,s,p,g,w,o,p,n,v,d
e,k,y,n,f,n,f,w,n,w,e,b,s,s,w,n,w,o,e,w,v,l
e,k,s,n,f,n,a,c,b,n,e,?,s,s,o,o,o,o,p,o,v,l
e,x,y,y,t,l,f,c,b,w,e,r,s,y,w,w,w,o,p,k,s,g
e,f,y,n,t,n,f,c,b,w,t,b,s,s,p,p,w,o,p,n,v,d
p,f,f,y,f,f,f,c,b,g,e,b,k,k,n,n,w,o,l,h,y,g
e,f,f,g,t,n,f,c,b,n,t,b,s,s,w,p,w,o,p,k,y,d
p,x,s,e,f,y,f,c,n,b,t,?,s,k,p,p,w,o,e,w,v,p
p,x,s,e,f,s,f,c,n,b,t,?,s,s,w,p,w,o,e,w,v,l
